County,School,GradeTested,MathMetStandard,ReadingMetStandard,WritingMetStandard,ScienceMetStandard,MathTotalTested,ReadingTotalTested,WritingTotalTested,ScienceTotalTested,TotalEnrollment,PercentWhite,StudentsPerClassroomTeacher,FreeorReducedPricedMeals,AvgYearsEducationalExperience,PercentTeachersWithAtLeastMasterDegree
Garfield,Pomeroy Jr Sr High School,10,18,34,31,15,36,35,34,35,203,92.1182,14,37.3737,17.7,73.3
Garfield,Pomeroy Elementary School,5,7,15,NA,7,20,21,0,24,176,92.0455,13,44.0476,21.1,35.7
Grant,Wahluke High School,10,28,65,45,14,81,80,79,77,426,13.8498,13,82.2222,12,57.6
Grant,Saddle Mountain Intermediate,5,29,51,NA,7,135,131,0,144,454,7.26872,18,92.093,9.3,44
Grant,Quincy High School,10,67,106,101,57,144,140,140,143,612,36.1111,16,57.9038,7.4,56.4
Grant,Monument Elementary,5,44,88,NA,16,164,164,0,164,502,22.1116,16,82.0359,10.6,59.4
Grant,Warden Elementary,5,18,40,NA,10,60,60,0,60,478,21.5481,16,NA,13.3,53.3
Grant,Warden High School,10,19,43,40,6,68,69,69,66,276,32.6087,11,NA,18.3,76
Grant,Coulee City Elementary,5,11,12,NA,8,16,16,0,16,54,92.5926,5,49.1803,15.1,60
Grant,Almira Coulee Hartline High School,10,20,25,25,11,25,25,25,25,93,98.9247,12,27.7778,15.4,62.5
Grant,Soap Lake Elementary,5,10,16,NA,2,25,26,0,27,219,75.7991,12,100,10.1,27.8
Grant,Soap Lake Middle & High School,10,5,15,14,4,23,22,23,23,236,76.6949,12,99.5885,11.2,31.6
Grant,Red Rock Elementary,5,25,61,NA,10,110,111,0,110,706,18.9802,16,83.0925,11.8,55.6
Grant,Royal High School,10,39,77,74,21,105,105,107,107,396,38.1313,17,63.9257,17.6,39.1
Grant,Peninsula Elementary,5,31,45,NA,13,72,68,0,72,551,60.6171,16,65.2878,16.9,67.6
Grant,Knolls Vista Elementary,5,39,43,NA,21,70,70,0,71,425,44.7059,15,70.1595,17.9,62.1
Grant,Lakeview Terrace Elementary,5,27,44,NA,19,53,52,0,54,391,53.1969,18,63.2603,11.2,59.1
